year,total_active_s,speech_raw_s,music_raw_s,other_raw_s,speech_frac_s,music_frac_s,other_frac_s,videos,files_placeholder,speech_pct,music_pct,other_pct
1930,12331.527812499999,10410.365124999997,11050.675999999996,10784.250437499997,3868.16628125,4370.72171875,4092.6398125,23,23,31.368102477366893,35.44347290300531,33.18842461962781
1931,15526.6179375,13970.643312499997,13632.873937499993,14227.888749999995,5106.6544375,5103.26634375,5316.697156249999,25,25,32.88967667045102,32.8678554743371,34.242467855211885
1932,26734.1135625,24050.208999999988,22010.69424999997,25034.36156249999,8976.733479166667,8047.076104166661,9710.30397916667,39,39,33.57782354810654,30.100403685927006,36.32177276596646
1933,22742.62375,18801.276812499997,17445.003937499987,20237.649062499993,7261.644906250001,6645.732468749996,8835.246375,44,44,31.929670850972077,29.22148535632348,38.84884379270444
1934,34782.2911875,31975.56487499999,27811.90568749998,31911.185062499982,12158.720239583336,10204.549739583332,12419.021208333332,59,59,34.9566397855726,29.338348312288943,35.70501190213846
1935,61225.8279375,53655.38274999997,52533.09006249997,53109.32924999995,20259.442083333335,20587.73395833334,20378.651895833325,93,93,33.08969885064583,33.62589719382729,33.28440395552686
1936,73550.3508125,65924.03806249997,65962.12881249997,62944.16624999996,24536.972822916665,25786.27669791667,23227.10129166666,119,119,33.36078285400451,35.059352420565546,31.57986472542994
1937,36242.0775,31332.789624999987,32478.20381249999,30375.646499999984,11704.680885416667,13192.902135416669,11344.494479166666,64,64,32.29583316634282,36.40216854405399,31.3019982896032
1938,66764.8615,58496.30468749997,59602.35487499995,56830.16593749994,21780.327781250002,23711.13525,21273.39846874999,99,99,32.622441344014476,35.51439292658459,31.863165729400922
1939,66282.961125,59167.65531249997,60572.89199999997,56440.38031249994,21809.605364583334,23872.757770833345,20600.59798958332,103,103,32.903788536926704,36.01643222579149,31.0797792372818
1940,45507.9283125,41124.329499999985,39570.287624999975,40345.10981249998,15192.130333333334,15101.345395833332,15214.45258333333,74,74,33.38348041029238,33.1839878364345,33.43253175327312
1941,57637.0473125,50830.300812499976,51502.565187499975,49147.67887499995,18971.547375000002,20099.097000000005,18566.40293749999,89,89,32.91554349087129,34.871836669608555,32.21261983952015
1942,48803.1791875,44909.31999999998,43920.878749999974,42578.241312499966,16561.9708125,16608.784906250003,15632.423468749994,68,68,33.9362539249124,34.03217819568612,32.03156787940147
1943,50559.41774999999,46540.862062499975,45861.974062499976,43080.067999999956,17306.309739583332,17608.24173958334,15644.866270833323,79,79,34.22964604766109,34.826828557738565,30.943525394600346
1944,39929.1228125,36504.48743749998,34454.914437499974,35880.18612499997,13541.559468749998,12954.95028125,13432.613062499999,58,58,33.913991880910416,32.444865723908144,33.64114239518143
1945,47785.292499999996,43642.359999999986,44063.47699999998,40764.86393749996,16011.884802083336,16883.423302083334,14889.984395833324,74,74,33.507976961914245,35.331840444595656,31.160182593490088
1946,48394.245875,43982.057874999984,44469.20887499999,40672.912124999966,16243.03840625,17389.291625000005,14761.91584374999,76,76,33.56398702483139,35.93256039140626,30.503452583762353
1947,35078.1376875,31370.358937499983,33646.031999999985,28141.803749999974,11561.793208333333,13474.279458333336,10042.06502083333,55,55,32.96011125600133,38.41218589872535,28.627702845273323
