category,rank,label,seconds,category_share_pct
music,1,music,1192027.7263124988,38.9614531648265
music,2,musical instrument,641974.1424999989,20.982939351098796
music,3,"violin, fiddle",456739.10049999924,14.928527818496862
music,4,orchestra,165233.1223749997,5.40064833777524
music,5,bowed string instrument,118937.37362499972,3.887470743967466
other,1,animal,587481.5834374988,16.53026131837388
other,2,vehicle,238654.8240624996,6.715149406999863
other,3,"inside, small room",140661.85806249964,3.957872615675802
other,4,"domestic animals, pets",134132.44168749955,3.7741511817141125
other,5,rain on surface,100888.30331249977,2.8387443364008216
speech,1,speech,1188253.841625,52.98260197358149
speech,2,"male speech, man speaking",632124.3519374995,28.185554099039273
speech,3,"narration, monologue",348740.91849999945,15.549877163887931
speech,4,"female speech, woman speaking",30699.45468749991,1.3688463958925081
speech,5,conversation,25167.934687499917,1.1222035387837017
