visual_token,year,seconds
building,1930,840.0
building,1931,1365.0
building,1932,2270.0
building,1933,1140.0
building,1934,1455.0
building,1935,2670.0
building,1936,2385.0
building,1937,1835.0
building,1938,3020.0
building,1939,2117.0
building,1940,1873.0
building,1941,2803.0
building,1942,2637.0
building,1943,3067.0
building,1944,2419.0
building,1945,3892.0
building,1946,1730.0
building,1947,1380.0
building,1948,1640.0
building,1949,1245.0
building,1950,1220.0
building,1951,1025.0
building,1952,885.0
building,1953,1235.0
building,1954,2140.0
building,1955,1770.0
building,1956,1055.0
building,1957,610.0
building,1958,460.0
building,1959,425.0
building,1960,445.0
building,1961,340.0
building,1962,55.0
building,1964,15.0
building,1965,45.0
building,1966,30.0
crowd,1930,530.0
crowd,1931,1165.0
crowd,1932,2115.0
crowd,1933,1265.0
crowd,1934,1715.0
crowd,1935,2945.0
crowd,1936,5470.0
crowd,1937,1780.0
crowd,1938,3005.0
crowd,1939,2136.0
crowd,1940,983.0
crowd,1941,1769.0
crowd,1942,1684.0
crowd,1943,2108.0
crowd,1944,1177.0
crowd,1945,2965.0
crowd,1946,2360.0
crowd,1947,1460.0
crowd,1948,1735.0
crowd,1949,1285.0
crowd,1950,1490.0
crowd,1951,1180.0
crowd,1952,1685.0
crowd,1953,1335.0
crowd,1954,3000.0
crowd,1955,2340.0
crowd,1956,1440.0
crowd,1957,895.0
crowd,1958,1180.0
crowd,1959,1370.0
crowd,1960,510.0
crowd,1961,350.0
crowd,1962,30.0
crowd,1964,5.0
field,1930,115.0
field,1931,390.0
field,1932,685.0
field,1933,200.0
field,1934,185.0
field,1935,910.0
field,1936,1700.0
field,1937,380.0
field,1938,629.0
field,1939,871.0
field,1940,427.0
field,1941,1131.0
field,1942,1546.0
field,1943,1093.0
field,1944,858.0
field,1945,581.0
field,1946,820.0
field,1947,150.0
field,1948,410.0
field,1949,395.0
field,1950,275.0
field,1951,225.0
field,1952,405.0
field,1953,275.0
field,1954,1375.0
field,1955,620.0
field,1956,385.0
field,1957,175.0
field,1958,490.0
field,1959,165.0
field,1960,40.0
field,1961,30.0
field,1962,5.0
flag,1930,350.0
flag,1931,555.0
flag,1932,595.0
flag,1933,560.0
flag,1934,420.0
flag,1935,1090.0
flag,1936,1565.0
flag,1937,705.0
flag,1938,1389.0
flag,1939,1420.0
flag,1940,620.0
flag,1941,1016.0
flag,1942,1221.0
flag,1943,952.0
flag,1944,507.0
flag,1945,1780.0
flag,1946,665.0
flag,1947,450.0
flag,1948,650.0
flag,1949,340.0
flag,1950,540.0
flag,1951,425.0
flag,1952,555.0
flag,1953,580.0
flag,1954,715.0
flag,1955,675.0
flag,1956,535.0
flag,1957,400.0
flag,1958,195.0
flag,1959,195.0
flag,1960,260.0
flag,1961,130.0
flag,1962,5.0
flag,1964,5.0
grass,1930,50.0
grass,1931,360.0
grass,1932,700.0
grass,1933,225.0
grass,1934,250.0
grass,1935,765.0
grass,1936,2120.0
grass,1937,325.0
grass,1938,440.0
grass,1939,823.0
grass,1940,407.0
grass,1941,844.0
grass,1942,997.0
grass,1943,987.0
grass,1944,1043.0
grass,1945,502.0
grass,1946,805.0
grass,1947,245.0
grass,1948,335.0
grass,1949,455.0
grass,1950,420.0
grass,1951,310.0
grass,1952,450.0
grass,1953,490.0
grass,1954,730.0
grass,1955,765.0
grass,1956,315.0
grass,1957,200.0
grass,1958,300.0
grass,1959,240.0
grass,1960,85.0
grass,1961,45.0
grass,1965,10.0
grass,1966,5.0
ground,1930,110.0
ground,1931,490.0
ground,1932,840.0
ground,1933,680.0
ground,1934,595.0
ground,1935,1185.0
ground,1936,1420.0
ground,1937,530.0
ground,1938,976.0
ground,1939,1542.0
ground,1940,1220.0
ground,1941,2822.0
ground,1942,3753.0
ground,1943,2154.0
ground,1944,2098.0
ground,1945,1819.0
ground,1946,970.0
ground,1947,295.0
ground,1948,430.0
ground,1949,555.0
ground,1950,460.0
ground,1951,560.0
ground,1952,715.0
ground,1953,695.0
ground,1954,875.0
ground,1955,935.0
ground,1956,575.0
ground,1957,300.0
ground,1958,400.0
ground,1959,295.0
ground,1960,95.0
ground,1961,120.0
ground,1962,5.0
ground,1964,5.0
ground,1965,50.0
ground,1966,10.0
hat,1930,470.0
hat,1931,1030.0
hat,1932,2010.0
hat,1933,1055.0
hat,1934,1215.0
hat,1935,2135.0
hat,1936,2870.0
hat,1937,1020.0
hat,1938,2064.0
hat,1939,1912.0
hat,1940,1102.0
hat,1941,2046.0
hat,1942,1880.0
hat,1943,1903.0
hat,1944,1665.0
hat,1945,2111.0
hat,1946,1270.0
hat,1947,1130.0
hat,1948,1015.0
hat,1949,665.0
hat,1950,945.0
hat,1951,1330.0
hat,1952,655.0
hat,1953,615.0
hat,1954,1220.0
hat,1955,1185.0
hat,1956,915.0
hat,1957,450.0
hat,1958,440.0
hat,1959,325.0
hat,1960,265.0
hat,1961,210.0
hat,1962,40.0
hat,1964,10.0
hat,1965,125.0
pole,1930,260.0
pole,1931,425.0
pole,1932,395.0
pole,1933,365.0
pole,1934,375.0
pole,1935,850.0
pole,1936,1745.0
pole,1937,480.0
pole,1938,663.0
pole,1939,919.0
pole,1940,934.0
pole,1941,1375.0
pole,1942,1175.0
pole,1943,993.0
pole,1944,933.0
pole,1945,1280.0
pole,1946,535.0
pole,1947,330.0
pole,1948,285.0
pole,1949,450.0
pole,1950,505.0
pole,1951,740.0
pole,1952,550.0
pole,1953,415.0
pole,1954,635.0
pole,1955,730.0
pole,1956,360.0
pole,1957,190.0
pole,1958,130.0
pole,1959,325.0
pole,1960,170.0
pole,1961,55.0
pole,1962,5.0
pole,1964,5.0
pole,1965,25.0
sky,1930,335.0
sky,1931,575.0
sky,1932,730.0
sky,1933,785.0
sky,1934,730.0
sky,1935,1785.0
sky,1936,1675.0
sky,1937,690.0
sky,1938,1508.0
sky,1939,2267.0
sky,1940,2183.0
sky,1941,3731.0
sky,1942,5646.0
sky,1943,2838.0
sky,1944,3005.0
sky,1945,2702.0
sky,1946,1630.0
sky,1947,775.0
sky,1948,575.0
sky,1949,910.0
sky,1950,925.0
sky,1951,1145.0
sky,1952,430.0
sky,1953,1280.0
sky,1954,1530.0
sky,1955,1740.0
sky,1956,780.0
sky,1957,585.0
sky,1958,360.0
sky,1959,460.0
sky,1960,230.0
sky,1961,105.0
sky,1962,100.0
sky,1964,15.0
sky,1965,110.0
sky,1966,35.0
snow,1930,210.0
snow,1931,655.0
snow,1932,345.0
snow,1933,280.0
snow,1934,430.0
snow,1935,375.0
snow,1936,665.0
snow,1937,410.0
snow,1938,530.0
snow,1939,132.0
snow,1940,800.0
snow,1941,1839.0
snow,1942,1054.0
snow,1943,835.0
snow,1944,960.0
snow,1945,938.0
snow,1946,425.0
snow,1947,415.0
snow,1948,360.0
snow,1949,560.0
snow,1950,400.0
snow,1951,675.0
snow,1952,585.0
snow,1953,245.0
snow,1954,780.0
snow,1955,1240.0
snow,1956,795.0
snow,1957,175.0
snow,1958,205.0
snow,1959,275.0
snow,1960,210.0
snow,1961,35.0
snow,1965,15.0
suit,1930,600.0
suit,1931,1055.0
suit,1932,1545.0
suit,1933,1285.0
suit,1934,780.0
suit,1935,1380.0
suit,1936,1840.0
suit,1937,640.0
suit,1938,1409.0
suit,1939,985.0
suit,1940,741.0
suit,1941,1355.0
suit,1942,1261.0
suit,1943,1341.0
suit,1944,1452.0
suit,1945,1416.0
suit,1946,1080.0
suit,1947,585.0
suit,1948,785.0
suit,1949,585.0
suit,1950,1015.0
suit,1951,995.0
suit,1952,500.0
suit,1953,640.0
suit,1954,1195.0
suit,1955,1035.0
suit,1956,615.0
suit,1957,475.0
suit,1958,385.0
suit,1959,275.0
suit,1960,240.0
suit,1961,300.0
suit,1962,85.0
suit,1964,15.0
suit,1965,20.0
suit,1966,5.0
track,1930,335.0
track,1931,200.0
track,1932,710.0
track,1933,255.0
track,1934,125.0
track,1935,795.0
track,1936,3405.0
track,1937,335.0
track,1938,540.0
track,1939,731.0
track,1940,742.0
track,1941,625.0
track,1942,867.0
track,1943,574.0
track,1944,463.0
track,1945,646.0
track,1946,775.0
