audio_label,vision_label,seconds,videos
vehicle,car,4684.0,260
vehicle,vehicle,2651.0,234
crowd,crowd,2016.0,113
vehicle,truck,1856.0,144
explosion,explosion,1732.0,112
car,car,1436.0,106
vehicle,carriage,1357.0,68
aircraft,airplane,1076.0,82
artillery fire,fire,679.0,67
car,vehicle,633.0,79
machine gun,gun,588.0,51
"boat, water vehicle",water,525.0,53
door,door,518.0,48
aircraft,plane,511.0,54
ding,building,408.0,59
vehicle,bushe,402.0,50
"boat, water vehicle",boat,390.0,36
vehicle,cart,305.0,45
sliding door,door,304.0,32
vehicle,scarf,299.0,52
car,carriage,288.0,23
dog,dog,283.0,16
"propeller, airscrew",propeller,263.0,25
aircraft,aircraft,258.0,36
horse,horse,245.0,20
bird,bird,199.0,14
crow,crowd,191.0,21
"vehicle horn, car horn, honking",car,190.0,38
animal,animal,182.0,24
sheep,sheep,170.0,6
water,water,166.0,14
"vehicle horn, car horn, honking",vehicle,157.0,30
"boat, water vehicle",car,157.0,20
bell,bell,144.0,20
train,train,143.0,15
"baby cry, infant cry",baby,143.0,9
"fixed-wing aircraft, airplane",airplane,135.0,21
vehicle,sidecar,131.0,10
vehicle,fire truck,124.0,11
"vehicle horn, car horn, honking",truck,117.0,23
vehicle,train car,111.0,9
"boat, water vehicle",vehicle,110.0,21
rain on surface,train,108.0,16
engine,engine,107.0,14
motorcycle,motorcycle,106.0,11
ocean,ocean,105.0,15
vehicle,bush,98.0,17
cat,cat,90.0,4
church bell,bell,86.0,11
car passing by,car,83.0,13
church bell,church,82.0,14
run,runner,79.0,9
"vehicle horn, car horn, honking",carriage,77.0,9
television,television,73.0,13
"fixed-wing aircraft, airplane",plane,67.0,12
rain on surface,surface,67.0,9
"railroad car, train wagon",train,65.0,10
emergency vehicle,car,65.0,9
vehicle,aircraft carrier,61.0,8
"vehicle horn, car horn, honking",horn,57.0,4
"chicken, rooster",chicken,55.0,6
artillery fire,firework,52.0,4
car,scarf,49.0,10
machine gun,machine,47.0,9
medium engine (mid frequency),engine,47.0,6
ding-dong,building,46.0,8
"fixed-wing aircraft, airplane",wing,45.0,10
"fixed-wing aircraft, airplane",aircraft,45.0,8
typewriter,typewriter,45.0,5
"ice cream truck, ice cream van",ice,44.0,9
wind noise (microphone),window,42.0,10
owl,bowl,42.0,9
rain,train,42.0,8
"vehicle horn, car horn, honking",scarf,39.0,8
machine gun,machine gun,37.0,7
"boat, water vehicle",sailboat,37.0,5
"ice cream truck, ice cream van",truck,36.0,6
"railroad car, train wagon",car,36.0,5
wind,window,35.0,8
car,cart,34.0,7
"vehicle horn, car horn, honking",cart,32.0,6
"motorboat, speedboat",motorboat,31.0,4
rail transport,railing,31.0,4
vehicle,race car,30.0,4
car,sidecar,29.0,5
car passing by,vehicle,29.0,5
telephone bell ringing,telephone,29.0,5
"boat, water vehicle",motorboat,27.0,4
emergency vehicle,vehicle,25.0,5
truck,truck,25.0,3
vehicle,firetruck,25.0,3
"baby cry, infant cry",crying,25.0,1
"boat, water vehicle",scarf,24.0,5
vehicle,cargo,22.0,3
