video,year,audio_label,vision_label,start_s,end_s,duration_s,segment_max_prob
Kino111A-I.1,1951,ocean,ocean,355.0,360.0,5.0,0.05042172595858574
Kino111A-I.1,1951,ocean,ocean,380.0,385.0,5.0,0.052981454180553555
Kino111A-I.1,1951,vehicle,scarf,795.0,800.0,5.0,0.13586129248142242
Kino111A-I.1,1951,car,scarf,795.0,800.0,5.0,0.07922499440610409
Kino111A-I.1,1951,wind,window,985.0,990.0,5.0,0.05514079611748457
Kino111A-I.1,1951,wind noise (microphone),window,985.0,990.0,5.0,0.05529098678380251
Kino111A-I.1,1951,"boat, water vehicle",water,1165.0,1170.0,5.0,0.05623127706348896
Kino111A-I.1,1951,door,door,1695.0,1700.0,5.0,0.08092544099781662
Kino111A-I.1,1951,door,door,2075.0,2100.0,25.0,0.3595747537910938
Kino111A-I.1,1951,sliding door,door,2075.0,2100.0,25.0,0.25628613121807575
Kino111A-I.1,1951,door,door,2175.0,2180.0,5.0,0.18166431598365307
Kino111A-I.1,1951,sliding door,door,2175.0,2180.0,5.0,0.14677254669368267
Kino111A-I.1,1951,crowd,crowd,3765.0,3770.0,5.0,0.15884261950850487
Kino111A-I.1,1951,door,door,4215.0,4220.0,5.0,0.0649888776242733
Kino111A-I.1,1951,door,door,4225.0,4230.0,5.0,0.22471350547857583
Kino114.1,1954,telephone,telephone,285.0,290.0,5.0,0.12232746556401253
Kino114.1,1954,telephone bell ringing,telephone,285.0,290.0,5.0,0.4981963112950325
Kino121.1,1937,car,car,315.0,320.0,5.0,0.06645684083923697
Kino121.1,1937,vehicle,car,315.0,330.0,15.0,0.16729643382132053
Kino121.1,1937,car,car,325.0,330.0,5.0,0.09028027951717377
Kino121.1,1937,typewriter,typewriter,335.0,340.0,5.0,0.11666179029271007
Kino121.1,1937,vehicle,car,375.0,380.0,5.0,0.17294158600270748
Kino121.1,1937,car,car,375.0,380.0,5.0,0.09107424225658178
Kino121.1,1937,vehicle,car,425.0,430.0,5.0,0.06515179015696049
Kino121.1,1937,vehicle,truck,565.0,570.0,5.0,0.07416375540196896
Kino121.1,1937,vehicle,cart,575.0,580.0,5.0,0.2432470042258501
Kino121.1,1937,vehicle,cart,605.0,610.0,5.0,0.09594735270366073
Kino121.1,1937,vehicle,fire truck,605.0,610.0,5.0,0.09594735270366073
Kino121.1,1937,vehicle,truck,650.0,655.0,5.0,0.11664533987641335
Kino121.1,1937,vehicle,car,650.0,660.0,10.0,0.11664533987641335
Kino121.1,1937,vehicle,car,665.0,670.0,5.0,0.07029254548251629
Kino121.1,1937,vehicle,car,690.0,695.0,5.0,0.13796152360737324
Kino121.1,1937,car,car,690.0,695.0,5.0,0.09714665543287992
Kino121.1,1937,vehicle,car,700.0,725.0,25.0,0.13060126267373562
Kino121.1,1937,door,door,735.0,740.0,5.0,0.09279533626977354
Kino121.1,1937,vehicle,car,740.0,745.0,5.0,0.07288721762597561
Kino121.1,1937,vehicle,car,750.0,760.0,10.0,0.07445187494158745
Kino121.1,1937,vehicle,car,770.0,780.0,10.0,0.21065658330917358
Kino121.1,1937,car,car,770.0,780.0,10.0,0.23574835062026978
Kino121.1,1937,car passing by,car,775.0,780.0,5.0,0.07968246936798096
