pair_label,year,percent
animal × building,1930,0.2433672451625773
animal × building,1931,0.22790432669387564
animal × building,1932,0.3143462007266704
animal × building,1933,0.28931794210711353
animal × building,1934,0.31046600727503326
animal × building,1935,0.26772684350588033
animal × building,1936,0.25513797443622005
animal × building,1937,0.3013477709941251
animal × building,1938,0.32700554744060945
animal × building,1939,0.27756750837054567
animal × building,1940,0.2805783071923999
animal × building,1941,0.23158019064841232
animal × building,1942,0.24719585461678642
animal × building,1943,0.2989709162009106
animal × building,1944,0.2137560374919357
animal × building,1945,0.3798894551879737
animal × building,1946,0.3847518723968547
animal × building,1947,0.40112084625037964
animal × building,1948,0.4360348184260913
animal × building,1949,0.3572329537263947
animal × building,1950,0.3559656133102333
animal × building,1951,0.25792424274721293
animal × building,1952,0.2334556988698748
animal × building,1953,0.2753123653597587
animal × building,1954,0.30836778881624716
animal × building,1955,0.333730350593757
animal × building,1956,0.37462033386006627
animal × building,1957,0.3095888295295794
animal × building,1958,0.3660540863588824
animal × building,1959,0.28303457461568343
animal × building,1960,0.3474317099049244
animal × building,1961,0.42715218987977893
animal × building,1962,0.18849172349977725
animal × building,1964,0.11828098304639244
animal × building,1965,0.06977717821091314
animal × building,1966,0.44463568559954103
animal × tree,1930,0.40827182658421435
animal × tree,1931,0.2906942942523924
animal × tree,1932,0.3044317565479072
animal × tree,1933,0.3801418024141568
animal × tree,1934,0.3465769471282995
animal × tree,1935,0.33452442269722726
animal × tree,1936,0.33783630274858345
animal × tree,1937,0.27139730445801175
animal × tree,1938,0.3801726151223802
animal × tree,1939,0.32016044051222814
animal × tree,1940,0.3914827377748908
animal × tree,1941,0.2736116286978603
animal × tree,1942,0.3136546465236396
animal × tree,1943,0.3585360029535824
animal × tree,1944,0.2512381611191652
animal × tree,1945,0.36658158201535995
animal × tree,1946,0.5065277077379953
animal × tree,1947,0.43722172241291385
animal × tree,1948,0.43871645937582127
animal × tree,1949,0.5144514919994234
animal × tree,1950,0.4378582804185991
